Neighborhood Name,Children_under_18,Working_Age_Adults_18_64,Older_Adults_65_over,Aggregate Age Total,Aggregate Age Male,Aggregate Age Female,Median Age Total,Median Age Male,Median Age Female,Neighborhood Type (outside comp plan areas id)
Lake City,807,3747,801,180972,103780.9,84504.6,33.7,34.8,35.5,UCUV
Roosevelt,393,3699,285,136994.9,73959.2,63817.2,31.2,32.2,30.5,UCUV
Wallingford,1139,5678,607,246500.2,108681.5,132687.9,33.2,34.2,31.2,UCUV
Rainier Beach,1625,4023,782,247876.7,116028.4,127093.6,38.5,40.8,35.4,UCUV
West Seattle Junction,657,7244,1066,354904.3,188145.2,164685.4,39.5,38.5,40.2,UCUV
Morgan Junction,755,3484,668,189160.1,100936.9,90692.4,38.5,39.5,38.4,UCUV
Green Lake,191,2878,583,130316.8,53089.5,74361.9,35.6,33.4,36,UCUV
Northgate,1062,6797,1688,335438.9,164476.5,177935.5,35.1,35.3,36.3,UCUV
Fremont,501,6391,429,234744.3,116531.4,116644.2,32,31.4,32.2,UCUV
Ballard,2599,17128,1638,706129.1,352190.6,356414.6,33,32.5,33.7,UCUV
Mt Baker,1577,5014,1387,320968.9,165294.1,154924.4,40.2,37.8,42.8,UCUV
South Lake Union,322,10739,915,361128.8,208120.8,181019.4,30.1,30.2,35.4,UCUV
University District,793,27843,774,668862.8,337312.9,335317.6,22.7,23.4,22.2,UCUV
Uptown,249,11239,1337,417895.4,220571.6,196286.5,32.5,32.4,32.5,UCUV
Downtown,1021,36389,5378,1589150.5,894624.1,704138.1,37.1,36.9,37.9,UCUV
First Hill/Capitol Hill,1394,43533,4290,1609883.4,903901.6,746375,32.7,32.8,34.4,UCUV
Greater Duwamish,28,394,75,21072.8,15085.5,5688,42.4,44.5,36,UCUV
Council District 1,18932,74978,14684,4335021.9,2142309.4,2206446.1,39.9,39.1,40.9,CD
Council District 2,18861,72824,16368,4188478.4,2106019.3,2081912.5,38.7,37.5,40,CD
Council District 3,10609,84609,12794,3932940.4,2050451.9,1918294.9,36.4,36,37.5,CD
Council District 4,14380,79643,10276,3499377.7,1751130.7,1737601.8,33.5,33.9,32.9,CD
Council District 5,16788,72620,16800,4162038.6,2086608.5,2081153.3,39.1,38.7,39.7,CD
Council District 6,17677,74266,13461,4054070.9,1960193.7,2094676.4,38.4,37.8,39,CD
Council District 7,6662,84698,10521,3561208,1853543.3,1735141.3,34.9,34.3,36.2,CD
Arbor Heights,1407,3640,1098,270368.2,125762.1,150646,43.9,44.4,45.4,CRA
Fauntleroy/Seaview,2746,9912,2462,639514.9,313114.7,327264.5,42.2,41.3,43.3,CRA
West Seattle Junction/Genesee Hill,3939,16749,3112,959481.9,470830.5,479373.3,40.3,38.7,41.1,CRA
